REPORTING_PERIOD_START,REPORTING_PERIOD_END,REGION,ICB_CODE,ICB_NAME,ORG_CODE,ORG_NAME,CONTRACT_CODE,CONTRACT_NAME,METRIC_ID,METRIC_NAME,METRIC_VALUE
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A01,Number of calls received,9285
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A02,Calls routed through IVR,517
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A03,Number of answered calls,5165
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B01,Number of calls answered within 60 seconds,2785
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B02,Number of calls abandoned,4120
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B03,Calls abandoned in 30 seconds or less,1378
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,583
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B05,Calls abandoned after 60 seconds,2159
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B06,Total time to call answer (seconds),1840826
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B07,95th centile call answer time (seconds),1803
2025-04-01,2025-04-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B09,Total time of abandoned calls (seconds),1494079
2025-04-01,2025-04-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,A01,Number of calls received,752
2025-04-01,2025-04-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,A02,Calls routed through IVR,0
2025-04-01,2025-04-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,A03,Number of answered calls,489
2025-04-01,2025-04-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B01,Number of calls answered within 60 seconds,478
2025-04-01,2025-04-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B02,Number of calls abandoned,263
2025-04-01,2025-04-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B03,Calls abandoned in 30 seconds or less,210
