REPORTING_PERIOD_START,REPORTING_PERIOD_END,REGION,ICB_CODE,ICB_NAME,ORG_CODE,ORG_NAME,CONTRACT_CODE,CONTRACT_NAME,METRIC_ID,METRIC_NAME,METRIC_VALUE
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A01,Number of calls received,9672
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A02,Calls routed through IVR,545
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A03,Number of answered calls,6007
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B01,Number of calls answered within 60 seconds,3665
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B02,Number of calls abandoned,3257
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B03,Calls abandoned in 30 seconds or less,1235
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,475
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B05,Calls abandoned after 60 seconds,1547
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B06,Total time to call answer (seconds),1522703
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B07,95th centile call answer time (seconds),1307
2025-05-01,2025-05-31,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B09,Total time of abandoned calls (seconds),929834
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),A01,Number of calls received,852
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),A02,Calls routed through IVR,-
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),A03,Number of answered calls,709
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),B01,Number of calls answered within 60 seconds,-
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),B02,Number of calls abandoned,143
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),B03,Calls abandoned in 30 seconds or less,-
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,-
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),B05,Calls abandoned after 60 seconds,-
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),B06,Total time to call answer (seconds),-
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),B07,95th centile call answer time (seconds),-
2025-05-01,2025-05-31,South West,QVV,NHS DORSET INTEGRATED CARE BOARD,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MH021,Dorset 24/7 Connection (DHC),B09,Total time of abandoned calls (seconds),-
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),A01,Number of calls received,3130
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),A02,Calls routed through IVR,391
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),A03,Number of answered calls,2380
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),B01,Number of calls answered within 60 seconds,2304
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),B02,Number of calls abandoned,750
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),B03,Calls abandoned in 30 seconds or less,136
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,79
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),B05,Calls abandoned after 60 seconds,535
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),B06,Total time to call answer (seconds),571094
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),B07,95th centile call answer time (seconds),1484
2025-05-01,2025-05-31,Midlands,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MH049,Crisis Care Centre (NSCHT),B09,Total time of abandoned calls (seconds),349133
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,A01,Number of calls received,715
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,A02,Calls routed through IVR,0
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,A03,Number of answered calls,431
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B01,Number of calls answered within 60 seconds,421
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B02,Number of calls abandoned,284
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B03,Calls abandoned in 30 seconds or less,250
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,28
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B05,Calls abandoned after 60 seconds,6
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B06,Total time to call answer (seconds),11065
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B07,95th centile call answer time (seconds),40
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B09,Total time of abandoned calls (seconds),4441
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,A01,Number of calls received,1652
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,A02,Calls routed through IVR,629
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,A03,Number of answered calls,1299
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B01,Number of calls answered within 60 seconds,1051
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B02,Number of calls abandoned,353
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B03,Calls abandoned in 30 seconds or less,185
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,26
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B05,Calls abandoned after 60 seconds,142
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B06,Total time to call answer (seconds),104936
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B07,95th centile call answer time (seconds),337
2025-05-01,2025-05-31,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B09,Total time of abandoned calls (seconds),45328
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),A01,Number of calls received,9048
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),A02,Calls routed through IVR,1501
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),A03,Number of answered calls,5806
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),B01,Number of calls answered within 60 seconds,3167
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),B02,Number of calls abandoned,2020
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),B03,Calls abandoned in 30 seconds or less,345
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,254
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),B05,Calls abandoned after 60 seconds,1421
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),B06,Total time to call answer (seconds),1290020
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),B07,95th centile call answer time (seconds),1083
2025-05-01,2025-05-31,Midlands,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH051,Nottingham 24/7 Crisis line (NHFT),B09,Total time of abandoned calls (seconds),451447
2025-05-01,2025-05-31,North West,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MH030,LSCFT IRS,A01,Number of calls received,1853
2025-05-01,2025-05-31,North West,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MH030,LSCFT IRS,A02,Calls routed through IVR,1853
2025-05-01,2025-05-31,North West,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MH030,LSCFT IRS,A03,Number of answered calls,1435
2025-05-01,2025-05-31,North West,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MH030,LSCFT IRS,B01,Number of calls answered within 60 seconds,1041
2025-05-01,2025-05-31,North West,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MH030,LSCFT IRS,B02,Number of calls abandoned,418
2025-05-01,2025-05-31,North West,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MH030,LSCFT IRS,B03,Calls abandoned in 30 seconds or less,189
2025-05-01,2025-05-31,North West,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MH030,LSCFT IRS,B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,44
2025-05-01,2025-05-31,North West,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MH030,LSCFT IRS,B05,Calls abandoned after 60 seconds,185
2025-05-01,2025-05-31,North West,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MH030,LSCFT IRS,B06,Total time to call answer (seconds),144469
2025-05-01,2025-05-31,North West,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MH030,LSCFT IRS,B07,95th centile call answer time (seconds),512
