REPORTING_PERIOD_START,REPORTING_PERIOD_END,REGION,ICB_CODE,ICB_NAME,ORG_CODE,ORG_NAME,CONTRACT_CODE,CONTRACT_NAME,METRIC_ID,METRIC_NAME,METRIC_VALUE
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A01,Number of calls received,9094
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A02,Calls routed through IVR,654
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A03,Number of answered calls,5080
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B01,Number of calls answered within 60 seconds,2568
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B02,Number of calls abandoned,4014
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B03,Calls abandoned in 30 seconds or less,1450
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,601
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B05,Calls abandoned after 60 seconds,1963
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B06,Total time to call answer (seconds),2115581
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B07,95th centile call answer time (seconds),1964
2025-11-01,2025-11-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B09,Total time of abandoned calls (seconds),1201586
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,A01,Number of calls received,837
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,A02,Calls routed through IVR,1
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,A03,Number of answered calls,563
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B01,Number of calls answered within 60 seconds,537
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B02,Number of calls abandoned,274
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B03,Calls abandoned in 30 seconds or less,229
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,40
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B05,Calls abandoned after 60 seconds,5
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B06,Total time to call answer (seconds),17908
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B07,95th centile call answer time (seconds),54
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH027,HTFT CYP,B09,Total time of abandoned calls (seconds),4471
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,A01,Number of calls received,1819
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,A02,Calls routed through IVR,823
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,A03,Number of answered calls,1388
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B01,Number of calls answered within 60 seconds,964
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B02,Number of calls abandoned,431
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B03,Calls abandoned in 30 seconds or less,127
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,63
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B05,Calls abandoned after 60 seconds,241
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B06,Total time to call answer (seconds),165493
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B07,95th centile call answer time (seconds),545
2025-11-01,2025-11-30,North East and Yorkshire,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MH028,HTFT Adults,B09,Total time of abandoned calls (seconds),83441
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),A01,Number of calls received,315
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),A02,Calls routed through IVR,-
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),A03,Number of answered calls,267
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),B01,Number of calls answered within 60 seconds,199
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),B02,Number of calls abandoned,48
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),B03,Calls abandoned in 30 seconds or less,22
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,5
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),B05,Calls abandoned after 60 seconds,21
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),B06,Total time to call answer (seconds),21360
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),B07,95th centile call answer time (seconds),-
2025-11-01,2025-11-30,North East and Yorkshire,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,MH071,CYP Crisis Line - Leeds (LCAHMS),B09,Total time of abandoned calls (seconds),12864
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,A01,Number of calls received,2183
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,A02,Calls routed through IVR,-
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,A03,Number of answered calls,1869
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,B01,Number of calls answered within 60 seconds,1194
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,B02,Number of calls abandoned,310
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,B03,Calls abandoned in 30 seconds or less,70
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,42
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,B05,Calls abandoned after 60 seconds,198
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,B06,Total time to call answer (seconds),342308
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,B07,95th centile call answer time (seconds),923
2025-11-01,2025-11-30,South West,QJK,NHS DEVON INTEGRATED CARE BOARD,RWV,DEVON PARTNERSHIP NHS TRUST,MH019,Devon Partnership NHS Trust All Age,B09,Total time of abandoned calls (seconds),105126
2025-11-01,2025-11-30,South East,QNX,NHS SUSSEX INTEGRATED CARE BOARD,RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,MH066,Sussex Partnership NHS Foundation Trust (SPFT),A01,Number of calls received,4642
2025-11-01,2025-11-30,South East,QNX,NHS SUSSEX INTEGRATED CARE BOARD,RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,MH066,Sussex Partnership NHS Foundation Trust (SPFT),A02,Calls routed through IVR,-
