REPORTING_PERIOD_START,REPORTING_PERIOD_END,REGION,ICB_CODE,ICB_NAME,ORG_CODE,ORG_NAME,CONTRACT_CODE,CONTRACT_NAME,METRIC_ID,METRIC_NAME,METRIC_VALUE
2025-09-01,2025-09-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A01,Number of calls received,8557
2025-09-01,2025-09-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A02,Calls routed through IVR,609
2025-09-01,2025-09-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),A03,Number of answered calls,4696
2025-09-01,2025-09-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B01,Number of calls answered within 60 seconds,2233
2025-09-01,2025-09-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B02,Number of calls abandoned,3861
2025-09-01,2025-09-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B03,Calls abandoned in 30 seconds or less,1297
2025-09-01,2025-09-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B04,Calls abandoned in over 30 seconds and up to and including 60 seconds,614
2025-09-01,2025-09-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B05,Calls abandoned after 60 seconds,1950
2025-09-01,2025-09-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B06,Total time to call answer (seconds),2105430
2025-09-01,2025-09-30,Midlands,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MH050,Mental Health Northants (VCSE) Collaboration. (NMH),B07,95th centile call answer time (seconds),2078
